"","year","season","period","treatment","locality","site","bar","station","count_live","tran_length","area","density","strata"
"189",2019,"summer",17,"control","HB","I","1","HBI1",1535,31,4.72,324.91,"Y_NA"
"190",2019,"summer",17,"control","HB","I","2","HBI2",1290,16.8,2.56,503.84,"N_NA"
"191",2019,"summer",17,"control","HB","I","3","HBI3",674,24.7,3.76,179.05,"Y_NA"
"192",2019,"summer",17,"control","HB","I","4","HBI4",329,34.5,5.26,62.57,"Y_NA"
"193",2019,"summer",17,"control","HB","N","5","HBN5",51,17.2,2.62,19.46,"Y_NA"
"194",2019,"summer",17,"control","HB","N","6","HBN6",256,23.1,3.52,72.72,"Y_NA"
"195",2019,"summer",17,"control","HB","O","1","HBO1",20,32.5,4.95,4.04,"Y_NA"
"196",2019,"summer",17,"control","HB","O","2","HBO2",12,15.5,2.36,5.08,"Y_NA"
"197",2019,"summer",17,"control","HB","O","3","HBO3",52,52,7.92,6.56,"Y_NA"
"198",2019,"summer",17,"control","LC","I","1","LCI1",1289,19.75,3.01,428.25,"N_NA"
"199",2019,"summer",17,"control","LC","I","2","LCI2",1278,32.1,4.89,261.24,"Y_NA"
"200",2019,"summer",17,"control","LC","I","3","LCI3",1157,23.6,3.6,321.69,"Y_NA"
"201",2019,"summer",17,"control","LC","N","1","LCN1",24,29.75,4.53,5.29,"Y_NA"
"202",2019,"summer",17,"control","LC","N","2","LCN2",455,32.8,5,91.02,"Y_NA"
"203",2019,"summer",17,"control","LC","N","3","LCN3",74,19.9,3.03,24.4,"Y_NA"
"204",2019,"summer",17,"control","LC","N","6","LCN6",1597,32.4,4.94,323.43,"Y_NA"
"205",2019,"summer",17,"control","LC","N","9","LCN9",19,36.1,5.5,3.45,"Y_NA"
