obs,date,year,month,day,start_time,end_time,locality,site,bar,station,transect,counter,tran_length,count_live,count_dead,treatment,pass
198,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,17.5,3,-999,control,1
199,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,20,5,-999,control,1
200,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,22.5,0,-999,control,1
201,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,25,5,-999,control,1
202,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,27.5,0,-999,control,1
203,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,30,0,-999,control,1
204,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,33,0,-999,control,1
205,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,2.5,0,-999,control,1
206,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,5,0,-999,control,1
207,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,7.5,0,-999,control,1
208,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,10,2,-999,control,1
209,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,12.5,10,-999,control,1
210,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,15,15,-999,control,1
211,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,17.5,15,-999,control,1
212,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,20,16,-999,control,1
213,7/9/2010,2010,7,9,NA,NA,CK,O,1,CKO1,1,JERRY/LAURA,23.3,9,-999,control,1
214,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,2.5,0,-999,control,1
215,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,5,0,-999,control,1
216,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,7.5,2,-999,control,1
217,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,10,32,-999,control,1
218,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,12.5,13,-999,control,1
219,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,15,12,-999,control,1
220,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,17.5,0,-999,control,1
221,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,20,0,-999,control,1
222,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,22.5,0,-999,control,1
223,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,25,2,-999,control,1
224,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,27.5,0,-999,control,1
225,7/9/2010,2010,7,9,16:30,17:00,CK,O,2,CKO2,1,JERRY/LAURA,30.4,0,-999,control,1
226,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,2.5,0,-999,control,1
227,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,5,2,-999,control,1
228,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,7.5,28,-999,control,1
229,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,10,65,-999,control,1
230,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,12.5,213,-999,control,1
231,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,15,2,-999,control,1
232,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,17.5,9,-999,control,1
233,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,20,0,-999,control,1
234,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,22.5,0,-999,control,1
235,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,25,1,-999,control,1
236,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,27.5,0,-999,control,1
237,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,30,0,-999,control,1
238,7/9/2010,2010,7,9,NA,NA,CK,O,3,CKO3,1,NA,33,0,-999,control,1
239,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,2.5,16,-999,control,1
240,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,5,3,-999,control,1
241,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,7.5,16,-999,control,1
242,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,10,25,-999,control,1
243,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,12.5,14,-999,control,1
244,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,15,61,-999,control,1
245,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,17.5,47,-999,control,1
246,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,20,82,-999,control,1
247,8/8/2010,2010,8,8,16:45,17:30,CK,O,1,CKO1,1,JERRY/LAURA,22.5,17,-999,control,1
